name,status,species,type,gender,origin_name,location_name,image,url,episode_count
Hunter,Dead,Human,Clone,Male,Earth (Giant Telepathic Spiders Dimension),Earth (Giant Telepathic Spiders Dimension),https://rickandmortyapi.com/api/character/avatar/159.jpeg,https://rickandmortyapi.com/api/character/159,1
Hunter's Father,Alive,Human,,Male,Earth (Giant Telepathic Spiders Dimension),Earth (Giant Telepathic Spiders Dimension),https://rickandmortyapi.com/api/character/avatar/160.jpeg,https://rickandmortyapi.com/api/character/160,1
Hydrogen-F,Alive,Alien,Alphabetrian,Female,Alphabetrium,Alphabetrium,https://rickandmortyapi.com/api/character/avatar/161.jpeg,https://rickandmortyapi.com/api/character/161,1
Ice-T,Alive,Alien,Alphabetrian,Male,Alphabetrium,Alphabetrium,https://rickandmortyapi.com/api/character/avatar/162.jpeg,https://rickandmortyapi.com/api/character/162,1
Ideal Jerry,Dead,Mythological Creature,Mytholog,Male,Nuptia 4,Nuptia 4,https://rickandmortyapi.com/api/character/avatar/163.jpeg,https://rickandmortyapi.com/api/character/163,1
Insurance Rick,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/164.jpeg,https://rickandmortyapi.com/api/character/164,1
Investigator Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/165.jpeg,https://rickandmortyapi.com/api/character/165,1
Invisi-trooper,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/166.jpeg,https://rickandmortyapi.com/api/character/166,1
Izzy,Alive,Animal,Cat,unknown,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/167.jpeg,https://rickandmortyapi.com/api/character/167,1
Jackie,Alive,Alien,Gazorpian,Female,Gazorpazorp,Gazorpazorp,https://rickandmortyapi.com/api/character/avatar/168.jpeg,https://rickandmortyapi.com/api/character/168,1
Jacob,Alive,Human,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/169.jpeg,https://rickandmortyapi.com/api/character/169,2
Jacqueline,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/170.jpeg,https://rickandmortyapi.com/api/character/170,1
Jaguar,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/171.jpeg,https://rickandmortyapi.com/api/character/171,1
Jamey,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/172.jpeg,https://rickandmortyapi.com/api/character/172,1
Jan-Michael Vincent,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/173.jpeg,https://rickandmortyapi.com/api/character/173,1
Jerry 5-126,Alive,Human,,Male,Earth (5-126),Jerryboree,https://rickandmortyapi.com/api/character/avatar/174.jpeg,https://rickandmortyapi.com/api/character/174,1
Jerry Smith,Alive,Human,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/175.jpeg,https://rickandmortyapi.com/api/character/175,7
Celebrity Jerry,Alive,Human,,Male,Earth (C-500A),Earth (C-500A),https://rickandmortyapi.com/api/character/avatar/176.jpeg,https://rickandmortyapi.com/api/character/176,1
Jerry Smith,Alive,Human,,Male,Earth (Evil Rick's Target Dimension),Earth (Evil Rick's Target Dimension),https://rickandmortyapi.com/api/character/avatar/177.jpeg,https://rickandmortyapi.com/api/character/177,1
Jerry's Mytholog,Dead,Mythological Creature,Mytholog,Male,Nuptia 4,Nuptia 4,https://rickandmortyapi.com/api/character/avatar/178.jpeg,https://rickandmortyapi.com/api/character/178,1
Jessica,Alive,Cronenberg,,Female,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/179.jpeg,https://rickandmortyapi.com/api/character/179,3
Jessica,Alive,Human,Time God,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/180.jpeg,https://rickandmortyapi.com/api/character/180,12
Jessica's Friend,Alive,Human,,Female,Earth (C-137),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/181.jpeg,https://rickandmortyapi.com/api/character/181,8
Jim,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/182.jpeg,https://rickandmortyapi.com/api/character/182,1
Johnny Depp,Alive,Human,,Male,Earth (C-500A),Earth (C-500A),https://rickandmortyapi.com/api/character/avatar/183.jpeg,https://rickandmortyapi.com/api/character/183,1
Jon,Alive,Alien,Gazorpian,Male,Gazorpazorp,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/184.jpeg,https://rickandmortyapi.com/api/character/184,1
Joseph Eli Lipkip,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/185.jpeg,https://rickandmortyapi.com/api/character/185,1
Joyce Smith,Alive,Human,,Female,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/186.jpeg,https://rickandmortyapi.com/api/character/186,1
Juggling Rick,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/187.jpeg,https://rickandmortyapi.com/api/character/187,1
Karen Entity,Alive,Alien,Unknown-nippled alien,Female,Unity's Planet,Unity's Planet,https://rickandmortyapi.com/api/character/avatar/188.jpeg,https://rickandmortyapi.com/api/character/188,1
Katarina,Dead,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/189.jpeg,https://rickandmortyapi.com/api/character/189,1
Keara,Alive,Alien,Krootabulan,Female,Krootabulon,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/190.jpeg,https://rickandmortyapi.com/api/character/190,1
Kevin,Dead,Alien,Zigerion,Male,unknown,Zigerion's Base,https://rickandmortyapi.com/api/character/avatar/191.jpeg,https://rickandmortyapi.com/api/character/191,1
King Flippy Nips,Alive,Alien,Plutonian,Male,Pluto,Pluto,https://rickandmortyapi.com/api/character/avatar/192.jpeg,https://rickandmortyapi.com/api/character/192,1
King Jellybean,Dead,Mythological Creature,Jellybean,Male,Fantasy World,Fantasy World,https://rickandmortyapi.com/api/character/avatar/193.jpeg,https://rickandmortyapi.com/api/character/193,1
Kozbian,Alive,Alien,Tentacle alien,unknown,unknown,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/194.jpeg,https://rickandmortyapi.com/api/character/194,1
Kristen Stewart,Alive,Human,,Female,Earth (C-500A),Earth (C-500A),https://rickandmortyapi.com/api/character/avatar/195.jpeg,https://rickandmortyapi.com/api/character/195,1
Krombopulos Michael,Dead,Alien,Gromflomite,Male,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/196.jpeg,https://rickandmortyapi.com/api/character/196,1
Kyle,Dead,Humanoid,Miniverse inhabitant,Male,Zeep Xanflorp's Miniverse,Kyle's Teenyverse,https://rickandmortyapi.com/api/character/avatar/197.jpeg,https://rickandmortyapi.com/api/character/197,1
Lady Katana,Dead,Humanoid,Cyborg,Female,unknown,Dorian 5,https://rickandmortyapi.com/api/character/avatar/198.jpeg,https://rickandmortyapi.com/api/character/198,1
Larva Alien,Alive,Alien,Larva alien,unknown,Larva Alien's Planet,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/199.jpeg,https://rickandmortyapi.com/api/character/199,3
Lawyer Morty,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/200.jpeg,https://rickandmortyapi.com/api/character/200,1
Leonard Smith,Alive,Human,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/201.jpeg,https://rickandmortyapi.com/api/character/201,1
Lighthouse Keeper,Dead,Alien,Cat-Person,Male,Purge Planet,Purge Planet,https://rickandmortyapi.com/api/character/avatar/202.jpeg,https://rickandmortyapi.com/api/character/202,1
Lil B,Dead,Alien,Snail alien,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/203.jpeg,https://rickandmortyapi.com/api/character/203,2
Lisa,Dead,Alien,,Female,unknown,Immortality Field Resort,https://rickandmortyapi.com/api/character/avatar/204.jpeg,https://rickandmortyapi.com/api/character/204,1
Little Dipper,Alive,Humanoid,Tinymouth,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/205.jpeg,https://rickandmortyapi.com/api/character/205,1
Lizard Morty,Alive,Humanoid,Lizard-Person,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/206.jpeg,https://rickandmortyapi.com/api/character/206,1
Loggins,Alive,Alien,Alligator-Person,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/207.jpeg,https://rickandmortyapi.com/api/character/207,3
Logic,Alive,Human,,Male,unknown,Worldender's lair,https://rickandmortyapi.com/api/character/avatar/208.jpeg,https://rickandmortyapi.com/api/character/208,1
Long Sleeved Morty,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/209.jpeg,https://rickandmortyapi.com/api/character/209,1
Lucy,Dead,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/210.jpeg,https://rickandmortyapi.com/api/character/210,1
Ma-Sha,Alive,Alien,Gazorpian,Female,Gazorpazorp,Gazorpazorp,https://rickandmortyapi.com/api/character/avatar/211.jpeg,https://rickandmortyapi.com/api/character/211,1
Magma-Q,Dead,Alien,Alphabetrian,Male,Alphabetrium,Alphabetrium,https://rickandmortyapi.com/api/character/avatar/212.jpeg,https://rickandmortyapi.com/api/character/212,1
Magnesium-J,Alive,Alien,Alphabetrian,Male,Alphabetrium,Alphabetrium,https://rickandmortyapi.com/api/character/avatar/213.jpeg,https://rickandmortyapi.com/api/character/213,1
Man Painted Silver Who Makes Robot Noises,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/214.jpeg,https://rickandmortyapi.com/api/character/214,1
Maximums Rickimus,Dead,Human,,Male,unknown,Rick's Memories,https://rickandmortyapi.com/api/character/avatar/215.jpeg,https://rickandmortyapi.com/api/character/215,3
MC Haps,Alive,Human,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/216.jpeg,https://rickandmortyapi.com/api/character/216,3
Mechanical Morty,Dead,Robot,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/217.jpeg,https://rickandmortyapi.com/api/character/217,1
Mechanical Rick,unknown,Robot,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/218.jpeg,https://rickandmortyapi.com/api/character/218,1
Mechanical Summer,unknown,Robot,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/219.jpeg,https://rickandmortyapi.com/api/character/219,1
Mega Fruit Farmer Rick,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/220.jpeg,https://rickandmortyapi.com/api/character/220,1
Melissa,Alive,Mythological Creature,Monster,Female,Mr. Goldenfold's dream,Mr. Goldenfold's dream,https://rickandmortyapi.com/api/character/avatar/221.jpeg,https://rickandmortyapi.com/api/character/221,1
Michael Denny and the Denny Singers,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/222.jpeg,https://rickandmortyapi.com/api/character/222,1
Michael Jenkins,Dead,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/223.jpeg,https://rickandmortyapi.com/api/character/223,1
Michael McLick,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/224.jpeg,https://rickandmortyapi.com/api/character/224,1
Michael Thompson,Alive,Humanoid,Conjoined twin,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/225.jpeg,https://rickandmortyapi.com/api/character/225,1
Million Ants,Dead,Animal,Sentient ant colony,Male,unknown,Worldender's lair,https://rickandmortyapi.com/api/character/avatar/226.jpeg,https://rickandmortyapi.com/api/character/226,1
Mitch,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/227.jpeg,https://rickandmortyapi.com/api/character/227,1
Mohawk Guy,Dead,Human,,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,https://rickandmortyapi.com/api/character/avatar/228.jpeg,https://rickandmortyapi.com/api/character/228,1
Morty Mart Manager Morty,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/229.jpeg,https://rickandmortyapi.com/api/character/229,1
Morty Jr.,Alive,Humanoid,Human Gazorpian,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/230.jpeg,https://rickandmortyapi.com/api/character/230,1
Morty Rick,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/231.jpeg,https://rickandmortyapi.com/api/character/231,1
Morty Smith,Alive,Human,,Male,Earth (Evil Rick's Target Dimension),Earth (Evil Rick's Target Dimension),https://rickandmortyapi.com/api/character/avatar/232.jpeg,https://rickandmortyapi.com/api/character/232,1
Morty K-22,Alive,Human,,Male,Earth (K-22),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/233.jpeg,https://rickandmortyapi.com/api/character/233,1
Morty Smith,Dead,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/234.jpeg,https://rickandmortyapi.com/api/character/234,1
Mortytown Loco,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/235.jpeg,https://rickandmortyapi.com/api/character/235,1
Mr. Beauregard,Dead,Alien,Parasite,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/236.jpeg,https://rickandmortyapi.com/api/character/236,1
Mr. Benson,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/237.jpeg,https://rickandmortyapi.com/api/character/237,1
Mr. Booby Buyer,Alive,Mythological Creature,Boobie buyer reptilian,Male,Fantasy World,Fantasy World,https://rickandmortyapi.com/api/character/avatar/238.jpeg,https://rickandmortyapi.com/api/character/238,1
Mr. Goldenfold,Alive,Cronenberg,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/239.jpeg,https://rickandmortyapi.com/api/character/239,4
Mr. Goldenfold,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/240.jpeg,https://rickandmortyapi.com/api/character/240,10
Mr. Marklovitz,Alive,Human,,Male,Earth (C-137),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/241.jpeg,https://rickandmortyapi.com/api/character/241,2
Mr. Meeseeks,unknown,Humanoid,Meeseeks,Male,Mr. Meeseeks Box,Earth (Fascist Dimension),https://rickandmortyapi.com/api/character/avatar/242.jpeg,https://rickandmortyapi.com/api/character/242,5
Mr. Needful,Alive,Humanoid,The Devil,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/243.jpeg,https://rickandmortyapi.com/api/character/243,1
Mr. Poopybutthole,Alive,Poopybutthole,,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/244.jpeg,https://rickandmortyapi.com/api/character/244,7
Mrs. Lipkip,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/245.jpeg,https://rickandmortyapi.com/api/character/245,1
Mrs. Pancakes,Alive,Human,,Female,Earth (C-137),Mr. Goldenfold's dream,https://rickandmortyapi.com/api/character/avatar/246.jpeg,https://rickandmortyapi.com/api/character/246,2
Amy Poopybutthole,Alive,Poopybutthole,,Female,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/247.jpeg,https://rickandmortyapi.com/api/character/247,1
Mrs. Refrigerator,Dead,Alien,Parasite,Female,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/248.jpeg,https://rickandmortyapi.com/api/character/248,1
Mrs. Sanchez,unknown,Human,,Female,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/249.jpeg,https://rickandmortyapi.com/api/character/249,4
Mrs. Sullivan,Dead,Human,Cat controlled dead lady,Female,Earth (C-500A),Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/250.jpeg,https://rickandmortyapi.com/api/character/250,1
Nancy,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/251.jpeg,https://rickandmortyapi.com/api/character/251,6
Noob-Noob,Alive,Poopybutthole,,Male,unknown,Vindicator's Base,https://rickandmortyapi.com/api/character/avatar/252.jpeg,https://rickandmortyapi.com/api/character/252,1
Numbericon,unknown,Alien,Numbericon,unknown,unknown,Alphabetrium,https://rickandmortyapi.com/api/character/avatar/253.jpeg,https://rickandmortyapi.com/api/character/253,1
Octopus Man,Alive,Humanoid,Octopus-Person,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/254.jpeg,https://rickandmortyapi.com/api/character/254,1
Orthodox Jew,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/255.jpeg,https://rickandmortyapi.com/api/character/255,1
Pat Gueterman,Dead,Robot,,Male,unknown,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/256.jpeg,https://rickandmortyapi.com/api/character/256,1
Paul Fleishman,Alive,Human,,Male,unknown,Jerryboree,https://rickandmortyapi.com/api/character/avatar/257.jpeg,https://rickandmortyapi.com/api/character/257,1
Pawnshop Clerk,Alive,Alien,,Male,unknown,Pawn Shop Planet,https://rickandmortyapi.com/api/character/avatar/258.jpeg,https://rickandmortyapi.com/api/character/258,1
Pencilvester,Dead,Alien,Parasite,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/259.jpeg,https://rickandmortyapi.com/api/character/259,1
Phillip Jacobs,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/260.jpeg,https://rickandmortyapi.com/api/character/260,1
Photography Cyborg,unknown,Robot,,Male,unknown,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/261.jpeg,https://rickandmortyapi.com/api/character/261,1
Photography Raptor,Dead,Alien,Parasite,unknown,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/262.jpeg,https://rickandmortyapi.com/api/character/262,1
Pibbles Bodyguard,Alive,Alien,Hairy alien,Male,unknown,St. Gloopy Noops Hospital,https://rickandmortyapi.com/api/character/avatar/263.jpeg,https://rickandmortyapi.com/api/character/263,1
Pichael Thompson,Alive,Humanoid,Conjoined twin,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/264.jpeg,https://rickandmortyapi.com/api/character/264,1
Pickle Rick,Alive,unknown,Pickle,Male,Earth (C-137),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/265.jpeg,https://rickandmortyapi.com/api/character/265,1
Piece of Toast,Alive,unknown,Bread,Genderless,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/266.jpeg,https://rickandmortyapi.com/api/character/266,2
Plumber Rick,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/267.jpeg,https://rickandmortyapi.com/api/character/267,1
Poncho,Dead,Human,,Male,unknown,Anatomy Park,https://rickandmortyapi.com/api/character/avatar/268.jpeg,https://rickandmortyapi.com/api/character/268,1
Presidentress of The Mega Gargantuans,Alive,Humanoid,Mega Gargantuan,Female,Mega Gargantuan Kingdom,Mega Gargantuan Kingdom,https://rickandmortyapi.com/api/character/avatar/269.jpeg,https://rickandmortyapi.com/api/character/269,1
Prince Nebulon,Dead,Alien,Zigerion,Male,unknown,Zigerion's Base,https://rickandmortyapi.com/api/character/avatar/270.jpeg,https://rickandmortyapi.com/api/character/270,1
Principal Vagina,Alive,Cronenberg,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/271.jpeg,https://rickandmortyapi.com/api/character/271,3
Principal Vagina,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/272.jpeg,https://rickandmortyapi.com/api/character/272,6
Purge Planet Ruler,Dead,Alien,Cat-Person,Male,Purge Planet,Purge Planet,https://rickandmortyapi.com/api/character/avatar/273.jpeg,https://rickandmortyapi.com/api/character/273,1
Quantum Rick,unknown,Human,,Male,unknown,Rick's Memories,https://rickandmortyapi.com/api/character/avatar/274.jpeg,https://rickandmortyapi.com/api/character/274,3
Randy Dicknose,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/275.jpeg,https://rickandmortyapi.com/api/character/275,1
Rat Boss,Dead,Animal,Rat,unknown,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/276.jpeg,https://rickandmortyapi.com/api/character/276,1
Real Fake Doors Salesman,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/277.jpeg,https://rickandmortyapi.com/api/character/277,1
Regional Manager Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/278.jpeg,https://rickandmortyapi.com/api/character/278,1
Regular Legs,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/279.jpeg,https://rickandmortyapi.com/api/character/279,1
Reverse Giraffe,Dead,Alien,Parasite,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/280.jpeg,https://rickandmortyapi.com/api/character/280,1
Reverse Rick Outrage,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/281.jpeg,https://rickandmortyapi.com/api/character/281,1
Revolio Clockberg Jr.,unknown,Alien,Gear-Person,Male,Gear World,Gear World,https://rickandmortyapi.com/api/character/avatar/282.jpeg,https://rickandmortyapi.com/api/character/282,3
Rick D. Sanchez III,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/283.jpeg,https://rickandmortyapi.com/api/character/283,1
Rick Guilt Rick,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/284.jpeg,https://rickandmortyapi.com/api/character/284,1
Rick Prime,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/285.jpeg,https://rickandmortyapi.com/api/character/285,2
Rick D-99,Dead,Human,,Male,Earth (D-99),Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/286.jpeg,https://rickandmortyapi.com/api/character/286,1
Rick D716,Dead,Human,,Male,Earth (D716),Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/287.jpeg,https://rickandmortyapi.com/api/character/287,1
Rick D716-B,Alive,Human,,Male,Earth (D716-B),Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/288.jpeg,https://rickandmortyapi.com/api/character/288,1
Rick D716-C,Alive,Human,,Male,Earth (D716-C),Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/289.jpeg,https://rickandmortyapi.com/api/character/289,1
Rick Sanchez,Dead,Human,,Male,Earth (Evil Rick's Target Dimension),Earth (Evil Rick's Target Dimension),https://rickandmortyapi.com/api/character/avatar/290.jpeg,https://rickandmortyapi.com/api/character/290,1
Rick J-22,Alive,Human,,Male,Earth (J-22),Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/291.jpeg,https://rickandmortyapi.com/api/character/291,1
Rick K-22,Alive,Human,,Male,Earth (K-22),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/292.jpeg,https://rickandmortyapi.com/api/character/292,1
Rick Sanchez,Dead,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/293.jpeg,https://rickandmortyapi.com/api/character/293,1
Ricktiminus Sancheziminius,Dead,Human,,Male,unknown,Rick's Memories,https://rickandmortyapi.com/api/character/avatar/294.jpeg,https://rickandmortyapi.com/api/character/294,3
Riq IV,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/295.jpeg,https://rickandmortyapi.com/api/character/295,3
Risotto Groupon,Dead,Alien,Blue ape alien,Male,Resort Planet,Resort Planet,https://rickandmortyapi.com/api/character/avatar/296.jpeg,https://rickandmortyapi.com/api/character/296,1
Risotto's Tentacled Henchman,Dead,Alien,Tentacle alien,Male,Resort Planet,Resort Planet,https://rickandmortyapi.com/api/character/avatar/297.jpeg,https://rickandmortyapi.com/api/character/297,1
Robot Morty,unknown,Robot,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/298.jpeg,https://rickandmortyapi.com/api/character/298,1
Robot Rick,unknown,Robot,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/299.jpeg,https://rickandmortyapi.com/api/character/299,1
Roger,Dead,Human,,Male,Earth (C-137),Anatomy Park,https://rickandmortyapi.com/api/character/avatar/300.jpeg,https://rickandmortyapi.com/api/character/300,1
Ron Benson,Alive,Alien,Ring-nippled alien,Male,Unity's Planet,Unity's Planet,https://rickandmortyapi.com/api/character/avatar/301.jpeg,https://rickandmortyapi.com/api/character/301,1
Ruben,Dead,Human,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/302.jpeg,https://rickandmortyapi.com/api/character/302,1
Samantha,Alive,Human,,Female,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/303.jpeg,https://rickandmortyapi.com/api/character/303,1
Scary Brandon,Alive,Mythological Creature,Monster,Male,Mr. Goldenfold's dream,Mr. Goldenfold's dream,https://rickandmortyapi.com/api/character/avatar/304.jpeg,https://rickandmortyapi.com/api/character/304,1
Scary Glenn,Alive,Mythological Creature,Monster,Male,Mr. Goldenfold's dream,Mr. Goldenfold's dream,https://rickandmortyapi.com/api/character/avatar/305.jpeg,https://rickandmortyapi.com/api/character/305,1
Scary Terry,Alive,Mythological Creature,Monster,Male,Mr. Goldenfold's dream,Mr. Goldenfold's dream,https://rickandmortyapi.com/api/character/avatar/306.jpeg,https://rickandmortyapi.com/api/character/306,1
Scroopy Noopers,Alive,Alien,Plutonian,Male,Pluto,Pluto,https://rickandmortyapi.com/api/character/avatar/307.jpeg,https://rickandmortyapi.com/api/character/307,1
Scropon,unknown,Alien,Lobster-Alien,Male,unknown,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/308.jpeg,https://rickandmortyapi.com/api/character/308,2
Scrotian,Alive,Animal,Scrotian,Male,unknown,Signus 5 Expanse,https://rickandmortyapi.com/api/character/avatar/309.jpeg,https://rickandmortyapi.com/api/character/309,4
Self-Congratulatory Jerry,unknown,Mythological Creature,Mytholog,Male,Nuptia 4,Nuptia 4,https://rickandmortyapi.com/api/character/avatar/310.jpeg,https://rickandmortyapi.com/api/character/310,1
Shimshamian,Alive,Alien,Shimshamian,Male,unknown,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/311.jpeg,https://rickandmortyapi.com/api/character/311,3
Shlaammi,Alive,Alien,,unknown,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/312.jpeg,https://rickandmortyapi.com/api/character/312,1
Shleemypants,Alive,unknown,Omniscient being,Male,unknown,Snake Planet,https://rickandmortyapi.com/api/character/avatar/313.jpeg,https://rickandmortyapi.com/api/character/313,2
